name,mealType,foodType,category,subCategory,page
Veg.Kollapuri,lunch,veg,Curries,Special ,main
Corn Palak,lunch,veg,Curries,Special ,main
Dhum Alu,lunch,veg,Curries,Special ,main
Tawa Vegetable,lunch,veg,Curries,Special ,main
Babycorn Palak,lunch,veg,Curries,Special ,main
Babycorn Do Pyaza,lunch,veg,Curries,Special ,main
Babycorn Masala,lunch,veg,Curries,Special ,main
Ginger Babycorn,lunch,veg,Curries,Special ,main
Ginger Alu,lunch,veg,Curries,Special ,main
Ginger Gobi,lunch,veg,Curries,Special ,main
Ginger Veg.,lunch,veg,Curries,Special ,main
Ginger Mushroom,lunch,veg,Curries,Special ,main
Mushroom Kaju,lunch,veg,Curries,Special ,main
Munakkaya Kaju,lunch,veg,Curries,Special ,main
Malai koftha,lunch,veg,Curries,Special ,main
Palak Koftha Curry,lunch,veg,Curries,Special ,main
Veg. Diwani Handi,lunch,veg,Curries,Special ,main
Mirchi Ka Saalan,lunch,veg,Curries,Regular,main
Bagara Baingan,lunch,veg,Curries,Regular,main
Capsicum Masala,lunch,veg,Curries,Regular,main
Tomato Masala,lunch,veg,Curries,Regular,main
Capsicum Tomato Masala,lunch,veg,Curries,Regular,main
Mirchi Tomato Masala,lunch,veg,Curries,Regular,main
Dondakaya Masala,lunch,veg,Curries,Regular,main
Sorakaya Masala,lunch,veg,Curries,Regular,main
Beerakaya Masala,lunch,veg,Curries,Regular,main
Mealmaker Masala,lunch,veg,Curries,Regular,main
Rajma Masala,lunch,veg,Curries,Regular,main
Chole Masala,lunch,veg,Curries,Regular,main
Bhendi Masala,lunch,veg,Curries,Regular,main
Kaddu Koftha Curry,lunch,veg,Curries,Regular,main
Sorakaya Pulusu,lunch,veg,Curries,Regular,main
Chama Gadda Pulusu,lunch,veg,Curries,Regular,main
Kanda Gadda Pulusu,lunch,veg,Curries,Regular,main
Wada Pulusu,lunch,veg,Curries,Regular,main
Gumadikaya Pulusu,lunch,veg,Curries,Regular,main
Bendakaya Pulusu,lunch,veg,Curries,Regular,main
Kakarakaya Pulusu,lunch,veg,Curries,Regular,main
Attu Thunakala Pulusu,lunch,veg,Curries,Regular,main
Beerakaya Alsandalu,lunch,veg,Curries,Regular,main
Beerakaya Methi,lunch,veg,Curries,Regular,main
Beerakaya Boondi,lunch,veg,Curries,Regular,main
Alu Palak,lunch,veg,Curries,Regular,main
Chana Palak,lunch,veg,Curries,Regular,main
Chikkudukaya Alu,lunch,veg,Curries,Regular,main
Vankaya Alu Tomato,lunch,veg,Curries,Regular,main
Dosakaya Tomato,lunch,veg,Curries,Regular,main
Alu Gobi ,lunch,veg,Curries,Regular,main
Alu Mutter,lunch,veg,Curries,Regular,main
Mixed Veg Kurma,lunch,veg,Curries,Regular,main
Gangavali Tomato,lunch,veg,Curries,Regular,main
Aviyal,lunch,veg,Curries,Regular,main
Alu Methi Fry,lunch,veg,Curries,Fry Items,main
Alu Gobi Fry,lunch,veg,Curries,Fry Items,main
Alu Capsicum Fry,lunch,veg,Curries,Fry Items,main
Jeera Aloo,lunch,veg,Curries,Fry Items,main
Bendi Kaju Fry,lunch,veg,Curries,Fry Items,main
Jaipur Bendi,lunch,veg,Curries,Fry Items,main
Chat Pat Bendi,lunch,veg,Curries,Fry Items,main
Kanda Kaju Fry,lunch,veg,Curries,Fry Items,main
Kanda Thurimi Fry,lunch,veg,Curries,Fry Items,main
Donda Kaju Fry,lunch,veg,Curries,Fry Items,main
Aratikaya Fry,lunch,veg,Curries,Fry Items,main
Chamagadda Fry,lunch,veg,Curries,Fry Items,main
Beans Coconut Fry,lunch,veg,Curries,Fry Items,main
Kakarakaya Fry,lunch,veg,Curries,Fry Items,main
Sorakaya Fry,lunch,veg,Curries,Fry Items,main
Chikkudu Kaya Fry,lunch,veg,Curries,Fry Items,main
Gokarakaya Fry,lunch,veg,Curries,Fry Items,main
Cabbage Coconut Fry,lunch,veg,Curries,Fry Items,main
Panasa Pottu Fry,lunch,veg,Curries,Fry Items,main
Nutrilla Kaju Fry,lunch,veg,Curries,Fry Items,main
Nutrilla Beans Fry,lunch,veg,Curries,Fry Items,main
Nutrilla Palak Fry,lunch,veg,Curries,Fry Items,main
Guthivankaya Fry,lunch,veg,Curries,Fry Items,main
Mixed Vegetable Fry,lunch,veg,Curries,Fry Items,main
Vankaya Pakoda,lunch,veg,Curries,Fry Items,main
Dondakaya Pakoda,lunch,veg,Curries,Fry Items,main
Stuffed Capsicum,lunch,veg,Curries,Fry Items,main
Pepper Brinjal fry,lunch,veg,Curries,Fry Items,main
Gobi Besan Fry,lunch,veg,Curries,Fry Items,main
Palak Dal,lunch,veg,Curries,Dals,main
Palak Mango Dal,lunch,veg,Curries,Dals,main
Gangabavi Mango Dal,lunch,veg,Curries,Dals,main
Chukkakura Pappu,lunch,veg,Curries,Dals,main
Bachalikura Pappu,lunch,veg,Curries,Dals,main
Gongoora Pappu,lunch,veg,Curries,Dals,main
Tomato Pappu,lunch,veg,Curries,Dals,main
Mamidi Kaya Pappu,lunch,veg,Curries,Dals,main
Mudda Pappu,lunch,veg,Curries,Dals,main
Beerakaya Pappu,lunch,veg,Curries,Dals,main
Tomato Pesara Pappu,lunch,veg,Curries,Dals,main
Chinthakaya Pappu,lunch,veg,Curries,Dals,main
Dosakaya Pappu,lunch,veg,Curries,Dals,main
Nimmakaya Pappu,lunch,veg,Curries,Dals,main
Thota Kura Pappu,lunch,veg,Curries,Dals,main
Rajma Dal,lunch,veg,Curries,Dals,main
Dal Fry,lunch,veg,Curries,Dals,main
Dal Makhani,lunch,veg,Curries,Dals,main
Tadka Dal,lunch,veg,Curries,Dals,main
Drumstick Sambar,lunch,veg,Curries,Rasams,main
Mixed Sambar,lunch,veg,Curries,Rasams,main
Madras Sambar,lunch,veg,Curries,Rasams,main
Pappucharu,lunch,veg,Curries,Rasams,main
Veg. Dhalcha,lunch,veg,Curries,Rasams,main
Mukkala Pulusu,lunch,veg,Curries,Rasams,main
Munakkaya Charu,lunch,veg,Curries,Rasams,main
Tomato Charu,lunch,veg,Curries,Rasams,main
Ulawa Charu,lunch,veg,Curries,Rasams,main
Bendakaya Charu,lunch,veg,Curries,Rasams,main
Tomato Rasam,lunch,veg,Curries,Rasams,main
Miryala Rasam,lunch,veg,Curries,Rasams,main
Beetroot Rasam,lunch,veg,Curries,Rasams,main
Udipi Rasam,lunch,veg,Curries,Rasams,main
Pachi Pulusu,lunch,veg,Curries,Rasams,main
Majjiga Pulusu,lunch,veg,Curries,Rasams,main
Kadi Pakoda,lunch,veg,Curries,Rasams,main
Dosa Avakaya,lunch,veg,General Items,Pickels/Powders,main
Gobi Avakaya,lunch,veg,General Items,Pickels/Powders,main
Donda Avakaya,lunch,veg,General Items,Pickels/Powders,main
Mango Avakaya,lunch,veg,General Items,Pickels/Powders,main
Lime Pickle,lunch,veg,General Items,Pickels/Powders,main
Mixed Veg. Pickle,lunch,veg,General Items,Pickels/Powders,main
Gongoora Pickle,lunch,veg,General Items,Pickels/Powders,main
Gongoora Chutney,lunch,veg,General Items,Pickels/Powders,main
Tomato Pickle,lunch,veg,General Items,Pickels/Powders,main
Tomato Chutney,lunch,veg,General Items,Pickels/Powders,main
Cabbage Chutney,lunch,veg,General Items,Pickels/Powders,main
Carrot Chutney,lunch,veg,General Items,Pickels/Powders,main
Allam Chutney,lunch,veg,General Items,Pickels/Powders,main
Beerakaya Chutney,lunch,veg,General Items,Pickels/Powders,main
Dosakaya Chutney,lunch,veg,General Items,Pickels/Powders,main
Vankaya Dosakaya Chutney,lunch,veg,General Items,Pickels/Powders,main
Pudina Chutney,lunch,veg,General Items,Pickels/Powders,main
Pudina Coconut Chutney,lunch,veg,General Items,Pickels/Powders,main
Coconut Chutney,lunch,veg,General Items,Pickels/Powders,main
Mango Coconut Chutney,lunch,veg,General Items,Pickels/Powders,main
Chukkakura Chutney,lunch,veg,General Items,Pickels/Powders,main
Kothimeera Chutney,lunch,veg,General Items,Pickels/Powders,main
Kandi Podi,lunch,veg,General Items,Pickels/Powders,main
Nallakaram Podi,lunch,veg,General Items,Pickels/Powders,main
Kariyepak Podi,lunch,veg,General Items,Pickels/Powders,main
Putnaala Podi,lunch,veg,General Items,Pickels/Powders,main
Kobbari Kaaram Podi,lunch,veg,General Items,Pickels/Powders,main
Nuvvula Kaaram,lunch,veg,General Items,Pickels/Powders,main
Ellipaya Kaaram,lunch,veg,General Items,Pickels/Powders,main
Onion Raitha,lunch,veg,General Items,Raitha,main
Mixed Raitha,lunch,veg,General Items,Raitha,main
Keera Raitha,lunch,veg,General Items,Raitha,main
Tomato Raitha,lunch,veg,General Items,Raitha,main
Boondi Raitha,lunch,veg,General Items,Raitha,main
Potlakaya Raitha,lunch,veg,General Items,Raitha,main
Pineapple Raitha,lunch,veg,General Items,Raitha,main
Plain Papad,lunch,veg,General Items,Papad,main
Masala Papad,lunch,veg,General Items,Papad,main
Vadiyalu,lunch,veg,General Items,Papad,main
Curd Chillies,lunch,veg,General Items,Papad,main
Alu Chips,lunch,veg,General Items,Papad,main
Frymes,lunch,veg,General Items,Papad,main
Disco Papad,lunch,veg,General Items,Papad,main
Veg. Salad,lunch,veg,General Items,Salads,main
Keera Salad,lunch,veg,General Items,Salads,main
Onion Salad,lunch,veg,General Items,Salads,main
Sprouted Salad,lunch,veg,General Items,Salads,main
Alu Chana Chat,lunch,veg,General Items,Salads,main
Chana Chat,lunch,veg,General Items,Salads,main
Pasta Salad,lunch,veg,General Items,Salads,main
Tandoori Salad,lunch,veg,General Items,Salads,main
Russian Salad,lunch,veg,General Items,Salads,main
Cabbage Lemon Salad,lunch,veg,General Items,Salads,main
Spl. Salads,lunch,veg,General Items,Salads,main
Mexican Egg Salad,lunch,veg,General Items,Salads,main
Gulab Jamoon,lunch,veg,Sweets,Regular,desserts
Kala Jamoon,lunch,veg,Sweets,Regular,desserts
Disco Jamoon,lunch,veg,Sweets,Regular,desserts
Baadhusha,lunch,veg,Sweets,Regular,desserts
Mothichur Laddu,lunch,veg,Sweets,Regular,desserts
Boondi Laddu,lunch,veg,Sweets,Regular,desserts
Mysore Pak,lunch,veg,Sweets,Regular,desserts
Milk Mysore Pak,lunch,veg,Sweets,Regular,desserts
Madatha Kaaja,lunch,veg,Sweets,Regular,desserts
Kakinada Kaaja,lunch,veg,Sweets,Regular,desserts
Jhangri,lunch,veg,Sweets,Regular,desserts
Jilebi,lunch,veg,Sweets,Regular,desserts
Mini Jilebi,lunch,veg,Sweets,Regular,desserts
Khova Burfi,lunch,veg,Sweets,Regular,desserts
Khova Garjelu,lunch,veg,Sweets,Regular,desserts
Malai Roll,lunch,veg,Sweets,Regular,desserts
Kaddu Ka Kheer,lunch,veg,Sweets,Regular,desserts
Kaddu Ka Halwa,lunch,veg,Sweets,Regular,desserts
Carrot Halwa,lunch,veg,Sweets,Regular,desserts
Gaajar Ka Halwa,lunch,veg,Sweets,Regular,desserts
Gummadi Kaya Halwa,lunch,veg,Sweets,Regular,desserts
Double Ka Meeta,lunch,veg,Sweets,Regular,desserts
Rice Ferny,lunch,veg,Sweets,Regular,desserts
Bobbatlu / Bakshalu,lunch,veg,Sweets,Regular,desserts
Poornam Boorelu,lunch,veg,Sweets,Regular,desserts
Chocolate Burfi,lunch,veg,Sweets,Regular,desserts
Sweet Pongal,lunch,veg,Sweets,Regular,desserts
Fruit Salad Custard,lunch,veg,Sweets,Special ,desserts
Khubhani Ka Meeta,lunch,veg,Sweets,Special ,desserts
Sabid Khubhani Ka Meeta,lunch,veg,Sweets,Special ,desserts
Khubhani Tripple,lunch,veg,Sweets,Special ,desserts
Apricot Delite,lunch,veg,Sweets,Special ,desserts
Tawwa Mithai,lunch,veg,Sweets,Special ,desserts
Tawwa Jamun,lunch,veg,Sweets,Special ,desserts
Jilebi With Rabdi,lunch,veg,Sweets,Special ,desserts
Mango Rabdi,lunch,veg,Sweets,Special ,desserts
Dryfruit Rabdi,lunch,veg,Sweets,Special ,desserts
Fruit Rabdi,lunch,veg,Sweets,Special ,desserts
Jamun Rabdi,lunch,veg,Sweets,Special ,desserts
Rasgulla,lunch,veg,Sweets,Special ,desserts
Baked Rasgulla,lunch,veg,Sweets,Special ,desserts
Ras Malai,lunch,veg,Sweets,Special ,desserts
Ras Madhuri,lunch,veg,Sweets,Special ,desserts
Raaj Bhog,lunch,veg,Sweets,Special ,desserts
Paneer Jilebi,lunch,veg,Sweets,Special ,desserts
Kesari Jilebi,lunch,veg,Sweets,Special ,desserts
Angoori Ras Malai,lunch,veg,Sweets,Special ,desserts
Baasundi,lunch,veg,Sweets,Special ,desserts
Lichi Gulla,lunch,veg,Sweets,Special ,desserts
Lichi Ferney,lunch,veg,Sweets,Special ,desserts
Maal Puva,lunch,veg,Sweets,Special ,desserts
Indra Poori,lunch,veg,Sweets,Special ,desserts
Pan Peta,lunch,veg,Sweets,Special ,desserts
Nawabi Fruit Salad,lunch,veg,Sweets,Special ,desserts
Vannila,lunch,veg,Ice Creams,Regular,desserts
Strawberry,lunch,veg,Ice Creams,Regular,desserts
Orange,lunch,veg,Ice Creams,Regular,desserts
Pineapple,lunch,veg,Ice Creams,Regular,desserts
Mango,lunch,veg,Ice Creams,Regular,desserts
Chocolate Ripple,lunch,veg,Ice Creams,Regular,desserts
Strawberry Ripple,lunch,veg,Ice Creams,Regular,desserts
Chocolate,lunch,veg,Ice Creams,Special ,desserts
Mango,lunch,veg,Ice Creams,Special ,desserts
Seethapal,lunch,veg,Ice Creams,Special ,desserts
Chaco Chips,lunch,veg,Ice Creams,Special ,desserts
Pista,lunch,veg,Ice Creams,Special ,desserts
Butter Scotch,lunch,veg,Ice Creams,Special ,desserts
Kulfi Malai,lunch,veg,Ice Creams,Special ,desserts
Honeymoon Delite,lunch,veg,Ice Creams,Special ,desserts
Paina Chikki,lunch,veg,Ice Creams,Special ,desserts
Honey Almond,lunch,veg,Ice Creams,Special ,desserts
Dry Fruit Temptation,lunch,veg,Ice Creams,Special ,desserts
Mello Jello,lunch,veg,Ice Creams,Special ,desserts
Beri Bonanja,lunch,veg,Ice Creams,Special ,desserts
Black Current,lunch,veg,Ice Creams,Special ,desserts
Anjeer Badam,lunch,veg,Ice Creams,Special ,desserts
Caremel Nuts,lunch,veg,Ice Creams,Special ,desserts
Chaco Roco,lunch,veg,Ice Creams,Special ,desserts
Bon Bon Stick,lunch,veg,Ice Creams,Special ,desserts
Belgium Dark Chocolate,lunch,veg,Ice Creams,Special ,desserts
Jamaican Chaco Fadge,lunch,veg,Ice Creams,Special ,desserts
 Mini Chaco Bar,lunch,veg,Ice Creams,Special ,desserts
Mini Cone,lunch,veg,Ice Creams,Special ,desserts
Orange Bar,lunch,veg,Ice Creams,Special ,desserts
Mango Bar,lunch,veg,Ice Creams,Special ,desserts
Kassata,lunch,veg,Ice Creams,Special ,desserts
Single Sundaes,lunch,veg,Ice Creams,Special ,desserts
Double Sundaes,lunch,veg,Ice Creams,Special ,desserts
Mixed Fruit Sundaes,lunch,veg,Ice Creams,Special ,desserts
 Ice Cream Mela,lunch,veg,Ice Creams,Special ,desserts
Cream Stone,lunch,veg,Ice Creams,Special ,desserts
 Mango Duet Stick,lunch,veg,Ice Creams,Special ,desserts
Chocobar Stick,lunch,veg,Ice Creams,Special ,desserts
 Raspberry Stick,lunch,veg,Ice Creams,Special ,desserts
King Cone Chocolate,lunch,veg,Ice Creams,Special ,desserts
King Cone Butterscotch,lunch,veg,Ice Creams,Special ,desserts
Matka Kulfi,lunch,veg,Ice Creams,Special ,desserts
Black Forest Ice Cream Cake,lunch,veg,Ice Creams,Special ,desserts
Kulfi Stick,lunch,veg,Ice Creams,Special ,desserts
Apple,lunch,veg,Indian Fruits,,fruits
Pineapple,lunch,veg,Indian Fruits,,fruits
Sapota,lunch,veg,Indian Fruits,,fruits
Grapes,lunch,veg,Indian Fruits,,fruits
Black Grapes,lunch,veg,Indian Fruits,,fruits
Papaya,lunch,veg,Indian Fruits,,fruits
Water Melon,lunch,veg,Indian Fruits,,fruits
Musk Melon,lunch,veg,Indian Fruits,,fruits
Orange,lunch,veg,Indian Fruits,,fruits
Pears,lunch,veg,Indian Fruits,,fruits
Dates,lunch,veg,Indian Fruits,,fruits
Anjeer,lunch,veg,Indian Fruits,,fruits
Guava,lunch,veg,Indian Fruits,,fruits
Pomogranate,lunch,veg,Indian Fruits,,fruits
Mango.,lunch,veg,Indian Fruits,,fruits
Fuji Apple,lunch,veg,Imported Fruits,,fruits
Australian Grapes,lunch,veg,Imported Fruits,,fruits
Kiwi,lunch,veg,Imported Fruits,,fruits
Strawberry,lunch,veg,Imported Fruits,,fruits
Plums,lunch,veg,Imported Fruits,,fruits
Sweet Tamarind,lunch,veg,Imported Fruits,,fruits
Lichi,lunch,veg,Imported Fruits,,fruits
Dates,lunch,veg,Imported Fruits,,fruits
Pears,lunch,veg,Imported Fruits,,fruits
Red Guava,lunch,veg,Imported Fruits,,fruits
Green Guava,lunch,veg,Imported Fruits,,fruits
Peaches,lunch,veg,Imported Fruits,,fruits
Thailand Lichi,lunch,veg,Imported Fruits,,fruits
Persimmon,lunch,veg,Imported Fruits,,fruits
Fig,lunch,veg,Imported Fruits,,fruits
Mini Orange,lunch,veg,Imported Fruits,,fruits
Rambutan,lunch,veg,Imported Fruits,,fruits
Dragon Fruit,lunch,veg,Imported Fruits,,fruits
Mango Steam,lunch,veg,Imported Fruits,,fruits
Cherry,lunch,veg,Imported Fruits,,fruits
